locale,group,row_count,null_values,key_root_sha256,key_value_root_sha256,key_value_status_root_sha256
de,header_footer_new,30,0,d771a53c4b8bc8bdba85aacca8734cff38a8a9653887f856dc6e5a0311b59288,3acefafebeecca1a0c7f1287fa7476aa2a7c5e803e5dcce8ff20c526f0cace36,f2468e1fb089e777e432ab7fa43817a5b8e504b2909d74fe21e1f356d1932029
ee,header_footer_new,30,0,61eaf6b73fc63d8185e2bfd9d949603100bdedde03ce505fcb4e592e2616c93d,9b749207755bcc62dd637116de349d3c581148040fd616a38b4e0bab002ab856,2fa47728e6db3068c2c3f630365694f43d4466ea4445fe4b9783c5be4e4f4447
en,header_footer_new,30,0,4c4d7fa899fb52a253e98dda5f11a42061f8a5296825cb53472ebd5f1fc9a0df,2acc198131f309c30a71ed079c47a26f78929b5b860f492bf9ccc0f8a7c22bbf,d97cf1f2b2bc3f1f7d336de23e7c4422acf47b6c3fca871a3aa8662b29760b4a
et,header_footer_new,30,0,b7a2e2d6f06ae7a17067048828412bf399ec04cb9d0d7edf82ecb00dc358a24f,3ecc2d1ddbcfb361cf13963bec7301e8ae4734012222aa0db7a2ae54d94a5c92,1decfc1d8dba898018a85b28aee778f70f62771e0dae4592018db88ee30923d8
lt,header_footer_new,30,0,273425ae65bf61aafcad52abae02211c780eea780e245a66898c0e33bc78d8eb,588336bcd6c45d44f8724928a0fbc446dc008d23e8d1d444ca090a7e45b886ab,673e014aa88f0532b29d4314775f5d5b970fa6671e5b61c40369a95ad8f17ecf
lv,header_footer_new,30,0,e4fe66ecbf5060f95a3d7a57c050c86be6a45b76aa75f906bf76405f545bee66,26fe0fa62eece0a2e639999c49a86c56edeed747ad9470e6f52ea96dd3d7e4fc,9a49402b91f09cc086430b3999c4aff189eb7834db64689d2e70e64fb30c9aef
pl,header_footer_new,30,0,afe809a04382532b34f2cd4db3aed86395176782ad4f1306dc93bca53109fa1e,322bf0eaf5433b21e23534d031af78386dcc639f24cdee5cc38b27814201cf5f,4abcc7ccccc88c331c5f977db104c32d578bf0a3abf789fe04e9811c2d2576cc
ru,header_footer_new,30,0,7eda5263f0bdf0b67cccb6474ba86a63b0184355874846e9855923acca5e4888,009588ea6046967fee4b6ef1e4365166b3a315366602799dc1d3a50c79094eb7,49fa5bea42a6f21c9eb7ecb73d451e275aebe5c952ec211faa42419382618226
