locale,row_count,null_values,key_root_sha256,key_value_root_sha256,key_value_status_root_sha256
de,2960,0,792fe6f384fe170369f09e2758f3ac9309e6ab5c2acca3a960600701d25a89d1,b538df002eba471588d1429c8bc9bf8116d13b9cdbaff86322829127425371be,700d5b557967a272c1338cdc7034a0e7185b24ebdfa8052346b2e00052faa1be
ee,3088,0,2e9c98e8f2af586a94a5ceef613c5d945e1907f3d659f7dfa1050aec9936ca66,f870daf8b62335dffa87766eab35f6cdf2ff8138a79da794cbb77d05c7aefb54,ef4402a3940870d0b007f2d1b7880e3c6cf3eb5bbd773b47441f985754e71928
en,2960,95,2df52ae28685d22bb2230b733f7ac0162852c189d3a77bea876940c00b89ea11,32efeb19b5edc4a0b436d172b0dd15b61c979aa9b8475c4f9b9ad02957964a11,92a4f5a01429da2b5a1a2eefee3de0c62c19416f11a88495ab07d628356bfbd3
et,2519,1,39bbb515d8f659e918b7e80a78b4dcb339f0739c39803c1556f51a7a2187207f,1419872d6cec42173c7fcd8863776dc8af947e7121f0001a929d3659c43fead4,5452ab992920d5bae492883a1d2cf83661c4f483262c55ff2f198033eeee11a1
lt,2431,0,df95d9185875fee11ecc11e9e03f818124ac5c8b10916234aa05b5ff77e78fe3,d88dee3c3918e20049584693bdcc8adc24f32479e28887db90b0d4f2d74de192,3197ff8f4395d61f3d3c77fd4cd538f91575559767f2d561bb4106fefb1816ac
lv,2473,1,aaac45f55271723ea6d6ff7c068828e0410116e202deeace5b1ac0634e7dc41b,bb1cb1350309de419e6d2746dc0ae6e67339d2227da450b5aaf960344ee4c5ff,6f1a5f817f1e66078c26f57eb817842309108efdc12c1990e963a04729e0f5ec
pl,2431,0,f714c6c4fffe65051e7286bfb41bbeccc1bd509548e9142a54dd3e8e9e52445e,e8f856a53e48ac468b97bee17a1a82bc7d6ed31785c1e4cec92c2e803c76367a,41cd33b2845e50dfb116a2a24f1a6860ee59da94cd38fd57611aa26a716066ca
ru,2588,114,d7942dadcaffcc79f34ccc67f1d682913d515425c8d42d2b3a12aaff9149466c,a2776812bc5060cee88703768fb6fd04e8149ffbde25172064d997e0b19ef906,803d39a1e2024105f344bcdff54208c090f16c38f0eabc5d5a09ca393bf18290
