locale,row_count_match,null_values_match,key_root_match,key_value_root_match,full_root_match,production_key_root_sha256,local_key_root_sha256,production_key_value_root_sha256,local_key_value_root_sha256,production_full_root_sha256,local_full_root_sha256
de,yes,yes,yes,no,no,792fe6f384fe170369f09e2758f3ac9309e6ab5c2acca3a960600701d25a89d1,792fe6f384fe170369f09e2758f3ac9309e6ab5c2acca3a960600701d25a89d1,0fa694b03003933ff0e44917c080dae8c7a6365b5280728e38244e51abe00534,b538df002eba471588d1429c8bc9bf8116d13b9cdbaff86322829127425371be,0b1911b066691c12d12e115f6e49c6384ab4e49b12273fd80d9c4792837f4b14,700d5b557967a272c1338cdc7034a0e7185b24ebdfa8052346b2e00052faa1be
ee,yes,yes,yes,no,no,2e9c98e8f2af586a94a5ceef613c5d945e1907f3d659f7dfa1050aec9936ca66,2e9c98e8f2af586a94a5ceef613c5d945e1907f3d659f7dfa1050aec9936ca66,0f047b28a06968f3868fc4aee3e3e03baddbab3d8efd2f66a421111c8cda87cb,f870daf8b62335dffa87766eab35f6cdf2ff8138a79da794cbb77d05c7aefb54,6186ed108ad6338677680c5194374b99003fa328223a4d7a61f3a8bf7312263b,ef4402a3940870d0b007f2d1b7880e3c6cf3eb5bbd773b47441f985754e71928
en,yes,yes,yes,no,no,2df52ae28685d22bb2230b733f7ac0162852c189d3a77bea876940c00b89ea11,2df52ae28685d22bb2230b733f7ac0162852c189d3a77bea876940c00b89ea11,42b0ebfed0ef824c31b2ed1fc584984a801025b1988273126667bd03cb41d403,32efeb19b5edc4a0b436d172b0dd15b61c979aa9b8475c4f9b9ad02957964a11,e2df556c4eeab9dc51b96efa2a27dd6324e79f67bb128a0367ccb03f6ec81eac,92a4f5a01429da2b5a1a2eefee3de0c62c19416f11a88495ab07d628356bfbd3
et,yes,yes,yes,no,no,39bbb515d8f659e918b7e80a78b4dcb339f0739c39803c1556f51a7a2187207f,39bbb515d8f659e918b7e80a78b4dcb339f0739c39803c1556f51a7a2187207f,229f4da6efa6ff501ce324ff4ef79b8c7b2cd391c189d4b97edcaca224f3e1fe,1419872d6cec42173c7fcd8863776dc8af947e7121f0001a929d3659c43fead4,baad7dde602e9805fe8836fd2a3e43c82970af23d9ea1f5a2d76487aeb103699,5452ab992920d5bae492883a1d2cf83661c4f483262c55ff2f198033eeee11a1
lt,yes,yes,yes,no,no,df95d9185875fee11ecc11e9e03f818124ac5c8b10916234aa05b5ff77e78fe3,df95d9185875fee11ecc11e9e03f818124ac5c8b10916234aa05b5ff77e78fe3,bbac98dc9487bb8eda31dd0e8e3df8867c696b2ff95392f46cbd1f1b400e956c,d88dee3c3918e20049584693bdcc8adc24f32479e28887db90b0d4f2d74de192,5bcb6b7f93cd624a6384a66a5d7a443d8276a2af5b854f8008c2e2ddf35763c3,3197ff8f4395d61f3d3c77fd4cd538f91575559767f2d561bb4106fefb1816ac
lv,yes,yes,yes,no,no,aaac45f55271723ea6d6ff7c068828e0410116e202deeace5b1ac0634e7dc41b,aaac45f55271723ea6d6ff7c068828e0410116e202deeace5b1ac0634e7dc41b,1554bc0a3f576ad0afebf04053a5b70de02bd34c86b892eae2623d97dc42ffb9,bb1cb1350309de419e6d2746dc0ae6e67339d2227da450b5aaf960344ee4c5ff,0e42fe2d5d23ba1bf160b1069c939cf03968e9fa4c51c6bb2c6e261bf2e79691,6f1a5f817f1e66078c26f57eb817842309108efdc12c1990e963a04729e0f5ec
pl,yes,yes,yes,no,no,f714c6c4fffe65051e7286bfb41bbeccc1bd509548e9142a54dd3e8e9e52445e,f714c6c4fffe65051e7286bfb41bbeccc1bd509548e9142a54dd3e8e9e52445e,8a9f72321d002a507a9edef454ed20a1dc3d69213167df97beac5557cbaeec1f,e8f856a53e48ac468b97bee17a1a82bc7d6ed31785c1e4cec92c2e803c76367a,427fd058c566b556b9152dc8c463cb8fcaa1f696bc311e9406408f744a44b69c,41cd33b2845e50dfb116a2a24f1a6860ee59da94cd38fd57611aa26a716066ca
ru,yes,yes,yes,no,no,d7942dadcaffcc79f34ccc67f1d682913d515425c8d42d2b3a12aaff9149466c,d7942dadcaffcc79f34ccc67f1d682913d515425c8d42d2b3a12aaff9149466c,dd71a59f73f8f0b66378ebf5eda53cefddd7d4ae73f0296433e64348f89347a1,a2776812bc5060cee88703768fb6fd04e8149ffbde25172064d997e0b19ef906,77256881ee40e474fcb12a24642b2f62ec975c53ff93816090ae20142977a568,803d39a1e2024105f344bcdff54208c090f16c38f0eabc5d5a09ca393bf18290
