data_type_id,slug,table,model,table_exists,model_exists,controller,controller_exists,server_side,data_rows,table_rows,relationship_rows,translation_rows,translation_locales,permission_keys,permission_role_assignments,migration_class
176,our-working-process,our_working_process,"App\Models\OurWorkingProcess",1,1,,,0,8,5,0,34,de|ee|lt|lv|pl|ru,add_our_working_process|browse_our_working_process|delete_our_working_process|edit_our_working_process|read_our_working_process,10,localized_resource
181,our-team,our_team,"App\Models\OurTeam",1,1,,,0,13,5,0,120,de|ee|lt|lv|pl|ru,add_our_team|browse_our_team|delete_our_team|edit_our_team|read_our_team,10,localized_resource
184,address,address,"App\Models\Address",1,1,,,0,12,5,0,150,de|ee|lt|lv|pl|ru,add_address|browse_address|delete_address|edit_address|read_address,10,localized_resource
185,canvas-rams-colors,canvas_rams_colors,"App\Models\CanvasRamsColor",1,1,,,0,6,2,0,12,de|ee|lt|lv|pl|ru,add_canvas_rams_colors|browse_canvas_rams_colors|delete_canvas_rams_colors|edit_canvas_rams_colors|read_canvas_rams_colors,10,localized_resource
186,canvas-rams-materials,canvas_rams_materials,"App\Models\CanvasRamsMaterial",1,1,,,0,5,2,0,12,de|ee|lt|lv|pl|ru,add_canvas_rams_materials|browse_canvas_rams_materials|delete_canvas_rams_materials|edit_canvas_rams_materials|read_canvas_rams_materials,10,localized_resource
189,a-gallery-genre,a_gallery_genre,"App\Models\AGalleryGenre",1,1,,,0,9,16,0,60,de|ee|lt|lv|pl|ru,add_a_gallery_genre|browse_a_gallery_genre|delete_a_gallery_genre|edit_a_gallery_genre|read_a_gallery_genre,10,localized_resource
190,a-gallery-style,a_gallery_style,"App\Models\AGalleryStyle",1,1,,,0,9,24,0,156,de|ee|lt|lv|pl|ru,add_a_gallery_style|browse_a_gallery_style|delete_a_gallery_style|edit_a_gallery_style|read_a_gallery_style,10,localized_resource
191,a-gallery-nationality,a_gallery_nationality,"App\Models\AGalleryNationality",1,1,,,0,9,7,0,42,de|ee|lt|lv|pl|ru,add_a_gallery_nationality|browse_a_gallery_nationality|delete_a_gallery_nationality|edit_a_gallery_nationality|read_a_gallery_nationality,10,localized_resource
192,a-gallery-age,a_gallery_age,"App\Models\AGalleryAge",1,1,,,0,9,8,0,48,de|ee|lt|lv|pl|ru,add_a_gallery_age|browse_a_gallery_age|delete_a_gallery_age|edit_a_gallery_age|read_a_gallery_age,10,localized_resource
193,a-delivery-towns,a_delivery_towns,"App\Models\ADeliveryTown",1,1,,,0,7,3,0,18,de|ee|lt|lv|pl|ru,add_a_delivery_towns|browse_a_delivery_towns|delete_a_delivery_towns|edit_a_delivery_towns|read_a_delivery_towns,10,localized_resource
194,creeping-line,creeping_line,"App\Models\CreepingLine",1,1,,,0,7,4,0,24,de|ee|lt|lv|pl|ru,add_creeping_line|browse_creeping_line|delete_creeping_line|edit_creeping_line|read_creeping_line,5,localized_resource
196,seo-city,seo_city,"App\Models\SeoCity",1,1,,,0,5,81,0,0,,add_seo_city|browse_seo_city|delete_seo_city|edit_seo_city|read_seo_city,5,standard_resource_review
197,abandoned-carts,abandoned_carts,"App\Models\AbandonedCart",1,1,,,0,10,209,0,0,,add_abandoned_carts|browse_abandoned_carts|delete_abandoned_carts|edit_abandoned_carts|read_abandoned_carts,5,standard_resource_review
198,reviews,reviews,"App\Models\Review",1,1,,,0,14,4,0,0,,add_reviews|browse_reviews|delete_reviews|edit_reviews|read_reviews,5,standard_resource_review
199,venipak-data,venipak_data,"App\Models\VenipakData",1,1,,,0,18,3,0,0,,add_venipak_data|browse_venipak_data|delete_venipak_data|edit_venipak_data|read_venipak_data,5,standard_resource_review
200,site-images,site_images,"App\Models\SiteImage",1,1,,,0,8,172,0,0,,add_site_images|browse_site_images|delete_site_images|edit_site_images|read_site_images,5,standard_resource_review
202,canvas-photo-improvements,canvas_photo_improvements,"App\Models\CanvasPhotoImprove",1,1,,,0,11,3,0,48,de|ee|en|et|lt|lv|pl|ru,add_canvas_photo_improvements|browse_canvas_photo_improvements|delete_canvas_photo_improvements|edit_canvas_photo_improvements|read_canvas_photo_improvements,5,localized_resource
203,alt-suggestions,image_alt_suggestions,"App\Models\ImageAltSuggestion",1,1,"\App\Http\Controllers\Voyager\AltSuggestionController",1,0,25,1158,0,0,,browse_image_alt_suggestions|edit_image_alt_suggestions,2,custom_resource_or_page
204,seo-meta-suggestions,seo_meta_suggestions,"App\Models\SeoMetaSuggestion",1,1,"\App\Http\Controllers\Voyager\SeoMetaSuggestionController",1,0,28,0,0,0,,add_seo_meta_suggestions|browse_seo_meta_suggestions|delete_seo_meta_suggestions|edit_seo_meta_suggestions|read_seo_meta_suggestions,5,custom_resource_or_page
