data_type_id,slug,table,model,table_exists,model_exists,controller,controller_exists,server_side,data_rows,table_rows,relationship_rows,translation_rows,translation_locales,permission_keys,permission_role_assignments,migration_class
43,page-faq,page_faq,"App\Models\PageFaq",1,1,,,0,8,55,0,660,de|ee|lt|lv|pl|ru,add_page_faq|browse_page_faq|delete_page_faq|edit_page_faq|read_page_faq,18,localized_resource
44,page-faq-desc,page_faq_desc,"App\Models\PageFaqDesc",1,1,,,0,6,1,0,21,de|ee|en|lt|lv|pl|ru,add_page_faq_desc|browse_page_faq_desc|delete_page_faq_desc|edit_page_faq_desc|read_page_faq_desc,18,localized_resource
45,canvas-global,canvas_global,"App\Models\CanvasGlobal",1,1,,,0,12,1,0,63,de|ee|en|lt|lv|pl|ru,add_canvas_global|browse_canvas_global|delete_canvas_global|edit_canvas_global|read_canvas_global,18,localized_resource
47,canvas-comp-steps-arts-packs,canvas_comp_steps_arts_packs,"App\Models\CanvasCompStepsArtsPack",1,1,,,0,37,1,0,233,de|ee|en|lt|lv|pl|ru,add_canvas_comp_steps_arts_packs|browse_canvas_comp_steps_arts_packs|delete_canvas_comp_steps_arts_packs|edit_canvas_comp_steps_arts_packs|read_canvas_comp_steps_arts_packs,16,localized_resource
48,our-works,our_works,"App\Models\OurWork",1,1,,,0,11,17,0,53,ee|en|lt|lv|ru,add_our_works|browse_our_works|delete_our_works|edit_our_works|read_our_works,18,localized_resource
49,blog-posts,blog_posts,"App\Models\BlogPost",1,1,,,0,23,47,3,1139,de|ee|lt|lv|pl|ru,add_blog_posts|browse_blog_posts|delete_blog_posts|edit_blog_posts|read_blog_posts,18,localized_resource
50,blog,blog,"App\Models\Blog",1,1,,,0,17,1,0,72,de|ee|lt|lv|pl|ru,add_blog|browse_blog|delete_blog|edit_blog|read_blog,18,localized_resource
51,collage-header,collage_header,"App\Models\CollageHeader",1,1,,,0,36,1,1,178,de|ee|lt|lv|pl|ru,add_collage_header|browse_collage_header|delete_collage_header|edit_collage_header|read_collage_header,16,localized_resource
53,modular-pics-head,modular_pics_head,"App\Models\ModularPicsHead",1,1,,,0,15,1,1,32,de|ee|lt|lv|pl|ru,add_modular_pics_head|browse_modular_pics_head|delete_modular_pics_head|edit_modular_pics_head|read_modular_pics_head,18,localized_resource
54,mod-gall-page,mod_gall_page,"App\Models\ModGallPage",1,1,,,0,10,1,1,24,de|ee|lt|lv|pl|ru,add_mod_gall_page|browse_mod_gall_page|delete_mod_gall_page|edit_mod_gall_page|read_mod_gall_page,18,localized_resource
55,mod-photo-page,mod_photo_page,"App\Models\ModPhotoPage",1,1,,,0,10,1,1,24,de|ee|lt|lv|pl|ru,add_mod_photo_page|browse_mod_photo_page|delete_mod_photo_page|edit_mod_photo_page|read_mod_photo_page,18,localized_resource
57,mod-repr-page,mod_repr_page,"App\Models\ModReprPage",1,1,,,0,10,1,1,24,de|ee|lt|lv|pl|ru,add_mod_repr_page|browse_mod_repr_page|delete_mod_repr_page|edit_mod_repr_page|read_mod_repr_page,18,localized_resource
60,gall-globs,gall_globs,"App\Models\GallGlobs",1,1,,,0,14,1,0,66,de|ee|lt|lv|pl|ru,add_gall_globs|browse_gall_globs|delete_gall_globs|edit_gall_globs|read_gall_globs,18,localized_resource
61,gallery_filters_page,gallery_filters_page,"App\Models\GalleryFiltersPage",1,1,,,0,16,1,0,78,de|ee|lt|lv|pl|ru,add_gallery_filters_page|browse_gallery_filters_page|delete_gallery_filters_page|edit_gallery_filters_page|read_gallery_filters_page,18,localized_resource
62,graph-por-styl-page,graph_por_styl_page,"App\Models\GraphPorStylPage",1,1,,,0,39,1,0,208,de|ee|lt|lv|pl|ru,add_graph_por_styl_page|browse_graph_por_styl_page|delete_graph_por_styl_page|edit_graph_por_styl_page|read_graph_por_styl_page,16,localized_resource
64,oil-header,oil_header,"App\Models\OilHeader",1,1,,,0,31,1,0,117,de|ee|lt|lv|pl|ru,add_oil_header|browse_oil_header|delete_oil_header|edit_oil_header|read_oil_header,18,localized_resource
65,oil-what-req,oil_what_req,"App\Models\OilWhatReq",1,1,,,0,14,1,0,64,de|ee|lt|lv|pl|ru,add_oil_what_req|browse_oil_what_req|delete_oil_what_req|edit_oil_what_req|read_oil_what_req,16,localized_resource
66,modular-pics-what-size-price,modular_pics_what_size_price,"App\Models\ModularPicsWhatSizePrice",1,1,,,0,12,1,0,54,de|ee|lt|lv|pl|ru,add_modular_pics_what_size_price|browse_modular_pics_what_size_price|delete_modular_pics_what_size_price|edit_modular_pics_what_size_price|read_modular_pics_what_size_price,18,localized_resource
67,string-tranlations,string_tranlations,"App\Models\StringTranlation",1,1,,,0,69,1,0,384,de|ee|lt|lv|pl|ru,add_string_tranlations|browse_string_tranlations|delete_string_tranlations|edit_string_tranlations|read_string_tranlations,16,localized_resource
68,port-before-after,port_before_after,"App\Models\PortBeforeAfter",1,1,,,0,7,79,1,0,,add_port_before_after|browse_port_before_after|delete_port_before_after|edit_port_before_after|read_port_before_after,18,standard_resource_review
69,styl-page,styl_page,"App\Models\StylPage",1,1,,,0,13,1,0,60,de|ee|lt|lv|pl|ru,add_styl_page|browse_styl_page|delete_styl_page|edit_styl_page|read_styl_page,16,localized_resource
70,styl-page-port-obr,styl_page_port_obr,"App\Models\StylPagePortObr",1,1,,,0,5,10,0,60,de|ee|lt|lv|pl|ru,add_styl_page_port_obr|browse_styl_page_port_obr|delete_styl_page_port_obr|edit_styl_page_port_obr|read_styl_page_port_obr,18,localized_resource
71,styl-page-port-goup-obr,styl_page_port_goup_obr,"App\Models\StylPagePortGoupObr",1,1,,,0,5,8,0,48,de|ee|lt|lv|pl|ru,add_styl_page_port_goup_obr|browse_styl_page_port_goup_obr|delete_styl_page_port_goup_obr|edit_styl_page_port_goup_obr|read_styl_page_port_goup_obr,18,localized_resource
72,styl-page-info,styl_page_info,"App\Models\StylPageInfo",1,1,,,0,12,1,0,48,de|ee|lt|lv|pl|ru,add_styl_page_info|browse_styl_page_info|delete_styl_page_info|edit_styl_page_info|read_styl_page_info,18,localized_resource
73,sharj-work-ex,sharj_work_ex,"App\Models\SharjWorkEx",1,1,,,0,5,16,0,96,de|ee|lt|lv|pl|ru,add_sharj_work_ex|browse_sharj_work_ex|delete_sharj_work_ex|edit_sharj_work_ex|read_sharj_work_ex,18,localized_resource
74,sharj-work-group-ex,sharj_work_group_ex,"App\Models\SharjWorkGroupEx",1,1,,,0,5,8,0,48,de|ee|lt|lv|pl|ru,add_sharj_work_group_ex|browse_sharj_work_group_ex|delete_sharj_work_group_ex|edit_sharj_work_group_ex|read_sharj_work_group_ex,18,localized_resource
76,portraits-hard,portraits_hard,"App\Models\PortraitsHard",1,1,,,0,7,3,0,36,de|ee|lt|lv|pl|ru,add_portraits_hard|browse_portraits_hard|delete_portraits_hard|edit_portraits_hard|read_portraits_hard,18,localized_resource
77,port-prev-items,port_prev_items,"App\Models\PortPrevItem",1,1,,,0,5,6,0,36,de|ee|lt|lv|pl|ru,add_port_prev_items|browse_port_prev_items|delete_port_prev_items|edit_port_prev_items|read_port_prev_items,18,localized_resource
78,stocks,stocks,"App\Models\Stock",1,1,,,0,37,1,0,174,de|ee|lt|lv|pl|ru,add_stocks|browse_stocks|delete_stocks|edit_stocks|read_stocks,16,localized_resource
79,string-tranlations2,string_tranlations2,"App\Models\StringTranlations2",1,1,,,0,61,1,0,362,de|ee|lt|lv|pl|ru,add_string_tranlations2|browse_string_tranlations2|delete_string_tranlations2|edit_string_tranlations2|read_string_tranlations2,16,localized_resource
80,coupons,coupons,"App\Models\Coupon",1,1,,,0,21,1586,0,0,,add_coupons|browse_coupons|delete_coupons|edit_coupons|read_coupons,18,standard_resource_review
81,order-action,order_action,"App\Models\OrderAction",1,1,,,1,5,6696,0,0,,add_order_action|browse_order_action|delete_order_action|edit_order_action|read_order_action,18,server_side_resource
82,gift-card,gift_card,"App\Models\GiftCard",1,1,,,0,31,1,0,168,de|ee|lt|lv|pl|ru,add_gift_card|browse_gift_card|delete_gift_card|edit_gift_card|read_gift_card,18,localized_resource
84,gift-card-noms,gift_card_noms,"App\Models\GiftCardNom",1,1,,,0,4,6,0,0,,add_gift_card_noms|browse_gift_card_noms|delete_gift_card_noms|edit_gift_card_noms|read_gift_card_noms,18,standard_resource_review
88,basket-strings,basket_strings,"App\Models\BasketString",1,1,,,0,39,1,0,216,de|ee|lt|lv|pl|ru,add_basket_strings|browse_basket_strings|delete_basket_strings|edit_basket_strings|read_basket_strings,18,localized_resource
89,country-tels,country_tels,"App\Models\CountryTel",1,1,,,0,13,14,0,112,de|ee|lt|lv|pl|ru,add_country_tels|browse_country_tels|delete_country_tels|edit_country_tels|read_country_tels,18,localized_resource
93,collage-constructor,collage_constructor,"App\Models\CollageConstructor",1,1,,,0,16,1,0,54,de|ee|lt|lv|pl|ru,add_collage_constructor|browse_collage_constructor|delete_collage_constructor|edit_collage_constructor|read_collage_constructor,18,localized_resource
94,order-strings,order_strings,"App\Models\OrderString",1,1,,,0,41,1,0,354,de|ee|lt|lv|pl|ru,add_order_strings|browse_order_strings|delete_order_strings|edit_order_strings|read_order_strings,18,localized_resource
95,family-constructor,family_constructor,"App\Models\FamilyConstructor",1,1,,,1,7,1,0,12,de|ee|lt|lv|pl|ru,add_family_constructor|browse_family_constructor|delete_family_constructor|edit_family_constructor|read_family_constructor,18,localized_resource
96,glob-config,glob_config,"App\Models\GlobConfig",1,1,,,0,6,1,0,6,de|ee|lt|lv|pl|ru,add_glob_config|browse_glob_config|delete_glob_config|edit_glob_config|read_glob_config,16,localized_resource
97,slider-mod,slider_mod,"App\Models\SliderMod",1,1,,,0,13,1,0,36,de|ee|lt|lv|pl|ru,add_slider_mod|browse_slider_mod|delete_slider_mod|edit_slider_mod|read_slider_mod,18,localized_resource
98,slider-photo,slider_photo,"App\Models\SliderPhoto",1,1,,,0,16,1,0,36,de|ee|lt|lv|pl|ru,add_slider_photo|browse_slider_photo|delete_slider_photo|edit_slider_photo|read_slider_photo,18,localized_resource
99,slider-repr,slider_repr,"App\Models\SliderRepr",1,1,,,0,13,1,0,36,de|ee|lt|lv|pl|ru,add_slider_repr|browse_slider_repr|delete_slider_repr|edit_slider_repr|read_slider_repr,18,localized_resource
100,collage-popular-items,collage_popular_items,"App\Models\CollagePopularItem",1,1,,,0,8,6,0,72,de|ee|lt|lv|pl|ru,add_collage_popular_items|browse_collage_popular_items|delete_collage_popular_items|edit_collage_popular_items|read_collage_popular_items,18,localized_resource
101,user-messages,user_messages,"App\Models\UserMessage",1,1,,,0,57,1,0,316,de|ee|lt|lv|pl|ru,add_user_messages|browse_user_messages|delete_user_messages|edit_user_messages|read_user_messages,16,localized_resource
102,send-rev,send_rev,"App\Models\SendRev",1,1,,,0,12,1,0,54,de|ee|lt|lv|pl|ru,add_send_rev|browse_send_rev|delete_send_rev|edit_send_rev|read_send_rev,18,localized_resource
103,string-tranlations3,string_tranlations3,"App\Models\StringTranlations3",1,1,,,0,44,1,0,229,de|ee|lt|lv|pl|ru,add_string_tranlations3|browse_string_tranlations3|delete_string_tranlations3|edit_string_tranlations3|read_string_tranlations3,16,localized_resource
104,page-partnership,page_partnership,"App\Models\PagePartnership",1,1,,,0,15,1,0,66,de|ee|lt|lv|pl|ru,add_page_partnership|browse_page_partnership|delete_page_partnership|edit_page_partnership|read_page_partnership,16,localized_resource
105,page-slugs,page_slugs,"App\Models\PageSlug",1,1,,,0,6,1,0,18,de|ee|lt|lv|pl|ru,add_page_slugs|browse_page_slugs|delete_page_slugs|edit_page_slugs|read_page_slugs,16,localized_resource
