locale,candidate_count,local_only_key_path,opaque_key_id_sha256,remaining_key_root_match,remaining_value_root_match
de,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
ee,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
en,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
et,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
lt,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
lv,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
pl,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,yes
ru,1,orders.not_specified,c259ea975df99934d8c15582e33c3e68725c2896c37fb3e0bfc75c393f5815bb,yes,no
