path,top_level_count_match,leaf_count_match,null_values_match,array_nodes_match,max_depth_match,key_root_match,type_root_match,key_value_root_match,classification,production_leaf_count,local_leaf_count,production_key_root_sha256,local_key_root_sha256,production_type_root_sha256,local_type_root_sha256,production_key_value_root_sha256,local_key_value_root_sha256
resources/lang/et/header_footer_new.php,yes,yes,yes,yes,yes,yes,yes,no,value_delta_only,30,30,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,509898c9a65dcee68a62ef09e5ee841774e9bef93dc9d846e97d9c7869816755,48cfd7af3f96e1a7088a11105f93ac4c7cf18e014f9456ad6cc8b96e56a26b84
resources/lang/et/mail.php,yes,yes,yes,yes,yes,yes,yes,yes,semantic_equal,248,248,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,8e83231c9d95406f10950b2badd44db2b1f0ef83dfde133f82ea3f3986cb1824,8e83231c9d95406f10950b2badd44db2b1f0ef83dfde133f82ea3f3986cb1824
resources/lang/lt/account_new.php,yes,no,yes,yes,yes,no,no,no,key_or_structure_delta,129,130,ec810cee820c81bf0aeff61ee2806c35a77d66e5d879587b91afc80aa9bc7f54,744d913d699a8c2fc524972cfa0d4f56645afe643999952161d4001876902238,cc5c6039d9eb090b809ac804d54746f51fbcc2ad26fea87508c281b65def001c,887418807d47e5b40080076647a181dd386e6b36e955a10d28b731fccf377875,19c45f56efcd16bf9d61b4ff1bb6cfe520171cc2e26d303d38a5adbf4e1834a5,3e37ea654bd259a5ce4840302a821da701d0077dc487f272345d03ee7dfc0d87
resources/lang/lt/header_footer_new.php,yes,yes,yes,yes,yes,yes,yes,no,value_delta_only,30,30,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,39f666830f01566d720ae79aaf9ca4d2b01a669e813aa7c5220fee8a12f14ff6,41467c82abbe3a951c60c9fca6b626484807011f51ae85e96c9cbe27d24ae6e6
resources/lang/lt/mail.php,yes,yes,yes,yes,yes,yes,yes,yes,semantic_equal,248,248,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,346ca58df315d6551b4a1e90633bad27f3519615c2158306fa3ccde1c52ea362,346ca58df315d6551b4a1e90633bad27f3519615c2158306fa3ccde1c52ea362
resources/lang/lv/account_new.php,yes,no,yes,yes,yes,no,no,no,key_or_structure_delta,129,130,ec810cee820c81bf0aeff61ee2806c35a77d66e5d879587b91afc80aa9bc7f54,744d913d699a8c2fc524972cfa0d4f56645afe643999952161d4001876902238,cc5c6039d9eb090b809ac804d54746f51fbcc2ad26fea87508c281b65def001c,887418807d47e5b40080076647a181dd386e6b36e955a10d28b731fccf377875,c266ef2912fe8797f8d5a2f2b87f3cd4e813338f3f14fdab40e8c673cb8573bb,9036f13c7684a522494f8324b276840957e36dcb57c0d1054a2cb8b197314d32
resources/lang/lv/header_footer_new.php,yes,yes,yes,yes,yes,yes,yes,no,value_delta_only,30,30,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,b8b2c7a3179178048a7a41ae8884cc75990ee492478ecb944ceb4213b9b9b385,1c629dbe33886ad7d3859f875e2368b781b664efc052ee17f8ebb3818e48ab06
resources/lang/lv/mail.php,yes,yes,yes,yes,yes,yes,yes,yes,semantic_equal,248,248,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,19b597172864214d836c3dd8ab9763685b79f089b8ce2176d6d3a9a45eb175b5,19b597172864214d836c3dd8ab9763685b79f089b8ce2176d6d3a9a45eb175b5
resources/lang/pl/account_new.php,yes,no,yes,yes,yes,no,no,no,key_or_structure_delta,129,130,ec810cee820c81bf0aeff61ee2806c35a77d66e5d879587b91afc80aa9bc7f54,744d913d699a8c2fc524972cfa0d4f56645afe643999952161d4001876902238,cc5c6039d9eb090b809ac804d54746f51fbcc2ad26fea87508c281b65def001c,887418807d47e5b40080076647a181dd386e6b36e955a10d28b731fccf377875,fc0d0a46d915037b2cea1a2db80d672095a6b960c8af81960f4d3fe09df2b166,7b9652ccc1e568bd06bbbbd9632c7425266b64e151368f9b43ea57e32df72ef8
resources/lang/pl/header_footer_new.php,yes,yes,yes,yes,yes,yes,yes,no,value_delta_only,30,30,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,5dfe44b215b68063671f791974322d90f416891b8cdc8a31bcb8238135e266d6,69d65a46df989b58481551bbc87796b6b69b3c4fe7daef1941df047102f55c6f
resources/lang/pl/mail.php,yes,yes,yes,yes,yes,yes,yes,yes,semantic_equal,248,248,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,0bd66e291462e19f7454a817de97a42cb1164b40c8607c1181d85c311504ee9b,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,138e897e797678d695639c5dabe2fc6175ede0091a1e27fd9b837c24aa7a062e,f8299af1e7eeeb6e7389fd3872943ea3c93165762ed1402d05a208b272262927,f8299af1e7eeeb6e7389fd3872943ea3c93165762ed1402d05a208b272262927
resources/lang/ru/account_new.php,yes,no,yes,yes,yes,no,no,no,key_or_structure_delta,129,130,ec810cee820c81bf0aeff61ee2806c35a77d66e5d879587b91afc80aa9bc7f54,744d913d699a8c2fc524972cfa0d4f56645afe643999952161d4001876902238,cc5c6039d9eb090b809ac804d54746f51fbcc2ad26fea87508c281b65def001c,887418807d47e5b40080076647a181dd386e6b36e955a10d28b731fccf377875,898d3b3df277d56e53a6228d2b742fa2aeafce61c806ff9b63477e3a73bf0969,018f3fcc4906b6ac513d1c910f94a8d08288ab86c1ccf3b37f86e06d15d3b7dc
resources/lang/ru/header_footer_new.php,yes,yes,yes,yes,yes,yes,yes,no,value_delta_only,30,30,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ce1c0fc6798d948dc013f9d86bebf0d3e8e2182080290affc93d89d871750b14,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,ac21fe83075241549dd7f322cc051e7fb06ef5e787fb6d3033678b7ccb17235a,652a67895c63495bf254fe07240701b041e8799b338020f6f490bf57e092be0d,6c248a2838faae5414cae602888e7ae2f2e2d1f0bb2160d5b34e1ddc708d9425
