opaque_key_id_sha256,row_count_match,null_values_match,identity_root_match,key_value_root_match,full_root_match,production_identity_root_sha256,local_identity_root_sha256,production_key_value_root_sha256,local_key_value_root_sha256,production_full_root_sha256,local_full_root_sha256
53f0555ff2bfed446f188f6fa8b3573aaa4b9261d80610c514dffb5b4df59104,yes,yes,yes,yes,yes,85ed9934233aae95b9855de10a1c34107ece05201d30340bfa3e6827fded3066,85ed9934233aae95b9855de10a1c34107ece05201d30340bfa3e6827fded3066,e32904b8bb970f7d789f9ab5dfc76101e38c2ac8d42c5a113cb9e69565f85cd5,e32904b8bb970f7d789f9ab5dfc76101e38c2ac8d42c5a113cb9e69565f85cd5,acc7ede94b774301527b79a620ffde73e37ec002360d9962bd73e09d224dcfc6,acc7ede94b774301527b79a620ffde73e37ec002360d9962bd73e09d224dcfc6
b34eec80e36c75c39c0542cda0af0feaf5965b1320cfcd8933c65dfb3a8bae35,yes,yes,yes,yes,yes,02ea40fa4d2c487ff847a41e4b60107f487d32cede3e7302c8bcfe825360a69a,02ea40fa4d2c487ff847a41e4b60107f487d32cede3e7302c8bcfe825360a69a,77e0f6d9953f030fa9d1420bbecb17a809ba198ff68d11bfb71bfb70ac703259,77e0f6d9953f030fa9d1420bbecb17a809ba198ff68d11bfb71bfb70ac703259,6bafe4910183011dc575db71bd00d4c02a74abecdabdbcebbda40ef7fb7c93d0,6bafe4910183011dc575db71bd00d4c02a74abecdabdbcebbda40ef7fb7c93d0
c49057db5c28dde97f2f389279ba56f0a5816d29fc5986a67e6caf622eeee1f8,yes,yes,yes,yes,yes,5d40b5780a067d33912fff7613a8c8f3cf9b81f0deb32058404bcdd54f4910fd,5d40b5780a067d33912fff7613a8c8f3cf9b81f0deb32058404bcdd54f4910fd,5adc3531a89534e357098ea1d2a3ee29f5622599b2e9459d6ce8d0e2579647e9,5adc3531a89534e357098ea1d2a3ee29f5622599b2e9459d6ce8d0e2579647e9,1cc3ed73a010b8909a7dbdb0ed2e8f796a2c3cbb48d3fdee2fa5667e90c2acd7,1cc3ed73a010b8909a7dbdb0ed2e8f796a2c3cbb48d3fdee2fa5667e90c2acd7
aa21a64e4790d2cfd5b720ff5e87366ba6a8763f4d39202450774a0cb4f7a929,yes,yes,yes,yes,yes,ff9d7f1595489016279c28c11adb40529dab9fae95e16032eeedeee4f9bbadaa,ff9d7f1595489016279c28c11adb40529dab9fae95e16032eeedeee4f9bbadaa,d82e95d10d55716e59c0c16891b1baa4e2bfa5480db96af8beeb888be68fddd7,d82e95d10d55716e59c0c16891b1baa4e2bfa5480db96af8beeb888be68fddd7,a7a76f256c1e3097639c23250e837245ef867cf86e693d8ae51cfe763fe6fc2d,a7a76f256c1e3097639c23250e837245ef867cf86e693d8ae51cfe763fe6fc2d
3405031730bf423551be50589eca88b7f380588d9dcb83cc8a6c1c51feca9969,yes,yes,yes,yes,yes,10dbbbefddee81407bddaa0dd023b4ff6d5f9c67d97fa08bf6d33863ce008efb,10dbbbefddee81407bddaa0dd023b4ff6d5f9c67d97fa08bf6d33863ce008efb,ee47a5c413d06e78766da4db354f20ba99cc3928a35fadcad3dc73c48b52d835,ee47a5c413d06e78766da4db354f20ba99cc3928a35fadcad3dc73c48b52d835,d0d81fe5d2adbe0ea9bd7a55996460eca7a3f51a7a138e366f6fa3c5152e68e4,d0d81fe5d2adbe0ea9bd7a55996460eca7a3f51a7a138e366f6fa3c5152e68e4
28a60bbbfe490d163f0002936bea20322c6cbe81a21f2d7ba981841c302b7f67,yes,yes,yes,yes,yes,068c0eaff1f4d50f9d858a44d1c24bde5416354b80e68dd82cf25f141bf7eef9,068c0eaff1f4d50f9d858a44d1c24bde5416354b80e68dd82cf25f141bf7eef9,22ce4b70946126c1807cb56eba57dc29baca8c93450ea9d7b6b49d3a41617348,22ce4b70946126c1807cb56eba57dc29baca8c93450ea9d7b6b49d3a41617348,f5278ccbee2d6b2f3a4505c3f542f167dc347cd1515d0b513464c3b720251030,f5278ccbee2d6b2f3a4505c3f542f167dc347cd1515d0b513464c3b720251030
23c86a9471c50ba8e72561c8570015a8a3e24fb889f1c593aeafc97536f35b83,yes,yes,yes,yes,yes,fd7997ed808d0b3a2f85096f4adacb07721c4d64169b3a09e8783aec0ffa7ca7,fd7997ed808d0b3a2f85096f4adacb07721c4d64169b3a09e8783aec0ffa7ca7,7385f851e60a8f366d71c603cadad22fc7d9cbfc786e3b90284d616f070f277a,7385f851e60a8f366d71c603cadad22fc7d9cbfc786e3b90284d616f070f277a,ec25b2de5db9a1eca17a09dd1a44b7f96cdffb0ec6a72a91115c391362cf3b48,ec25b2de5db9a1eca17a09dd1a44b7f96cdffb0ec6a72a91115c391362cf3b48
98b8e1acaad6756b74267f165b4296973898133bb4b111164dfce01bf5bb1e97,yes,yes,yes,yes,yes,8ccc0c7c8423560a95f2741e90f71e9686b685ea11e8089e44cbfd09b5136ed4,8ccc0c7c8423560a95f2741e90f71e9686b685ea11e8089e44cbfd09b5136ed4,6122ac22437e514fda40be9b4f72e4d46fd362189073b966889e09a1d12cecb6,6122ac22437e514fda40be9b4f72e4d46fd362189073b966889e09a1d12cecb6,83af83dbbc3a16d97db5f6f3c0b72f6b0d885bd1de07fa5f20bf1198e374cee4,83af83dbbc3a16d97db5f6f3c0b72f6b0d885bd1de07fa5f20bf1198e374cee4
2396a3e4174e39aa23e0e1ee595aa40c7434560549f69d47a26eb2f838594302,yes,yes,yes,yes,yes,0806ea8eec763bc6adf2902ce25c18f2efc6732be5576aa93157b6f4d43f68dc,0806ea8eec763bc6adf2902ce25c18f2efc6732be5576aa93157b6f4d43f68dc,c1f65546b0f5bf4d29190bae65d8a4b9aa2747523a639923b782cee5fce7b565,c1f65546b0f5bf4d29190bae65d8a4b9aa2747523a639923b782cee5fce7b565,de8febcd99c19d57cc58eb56e977ee8384e9082d03c1c54e488033274699871a,de8febcd99c19d57cc58eb56e977ee8384e9082d03c1c54e488033274699871a
f2c19544d894fff794cad4d204a980c62fb39d82e89dc839c77fce973c0599c1,yes,yes,yes,yes,yes,d0f782b03fb4c3aa86a37ce6a24a8906af7218f57fea0f81baf4e283f7d4b4b8,d0f782b03fb4c3aa86a37ce6a24a8906af7218f57fea0f81baf4e283f7d4b4b8,ebaa3a32b688f8dfb2a88a25d376cbd3a5891a38dbfc248f36d29093ffc5f9f6,ebaa3a32b688f8dfb2a88a25d376cbd3a5891a38dbfc248f36d29093ffc5f9f6,0c9a3d60534e680b3b95b809fa99be47ccfdedfa56ebdc8260771a9c6a31fec9,0c9a3d60534e680b3b95b809fa99be47ccfdedfa56ebdc8260771a9c6a31fec9
