locale,opaque_key_id_sha256,null_match,identity_root_match,key_value_root_match,status_root_match,full_root_match,production_identity_root_sha256,local_identity_root_sha256,production_key_value_root_sha256,local_key_value_root_sha256,production_status_root_sha256,local_status_root_sha256,production_full_root_sha256,local_full_root_sha256
de,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,6839ce4f1e6959ce1f5671c87d5f85fa48b93d18e4adae9f5995caafa930bb0e,6839ce4f1e6959ce1f5671c87d5f85fa48b93d18e4adae9f5995caafa930bb0e,0ae8cc1346671887d9d8b8e9ecdea8b1765c7a7bdafe9e4d2142a52a07fc0085,fadcafcbda5177ed94f9d70beb4b6328f9c13c184260139e3924b68c7b448853,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,d82ea47ac503d529be25b7e0314308af4e6a95b287f748b40ae0056aa5177f46,5f8e2318c4c59a29388e7c1110e8226f6f64246ad9d8000f4922d62f0a6840d6
ee,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,5ac172b25c6c812b82697732d60f19a68e95a41fb024b5f8603e07f3f83ff029,5ac172b25c6c812b82697732d60f19a68e95a41fb024b5f8603e07f3f83ff029,6b82fc42a889c2657df57b86cae2969f4f8a5331d74f5f33893815b456d287a2,88da2652faf1be3c6ec77be66b262b36e79a8fd645b2db263f851d6ed0c452ba,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,3f9927371e9557cf90e88cfc90ed5655a998a5edf0eafdd149343e1b4858f10f,3169dbdf34db4e3900b38b29d08014f2d4799a44bbc5323d7c4518c8ec0ffe57
en,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,ffe4950084a286dfed251fd0f837225405b0d9be1bf208f6f0edc1c1cac5ccbf,ffe4950084a286dfed251fd0f837225405b0d9be1bf208f6f0edc1c1cac5ccbf,975a81614ba2338e5091962527fe1999877681f4eb4c656be2a500369e7bc13c,b05b4070fac3033c4c9c72643098e784ae12d06b0c658222cd1e774ce135f94d,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,62c8af606d042770a631a9635f626c4b246a2a049bde822aec698ba07dde5698,bb0098e3d7164948665c550553ddb0a9b0eea4493b961b74988b9eebf8d4dbe4
et,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,2f21ebd69ac3d7261b3e59c8cf724fffb53201b7e28cd2f0ebdb62fdb1774a55,2f21ebd69ac3d7261b3e59c8cf724fffb53201b7e28cd2f0ebdb62fdb1774a55,0d9b84a05c4549fda2c49f777d295756f414f9555bac87b5f8a1295c7a703551,3e2cd3d349e9073ecbcdcc814f62367d16976d63b07bd444d4bfa5f94cb4a661,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,66d26af3066775ece8289af642b59a34e703235c6533956f71fc1427ae4bcb75,ea8aa0eddb02789b7e7f04f1b80bd9429f472e25552c9d492f0e6bc91646e383
lt,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,644ce26a461b80fd2808881112846fdcef1b7b8743315696d9de68b08d4b59b9,644ce26a461b80fd2808881112846fdcef1b7b8743315696d9de68b08d4b59b9,ec78f92b4e2007939af1e4887d537a7068497953bc55c54760428e7d538ac3b0,3ad994a16ebc7e52453ff32accd4414d1eb4bd1d6eeb3635d5f9f56333bc377a,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,d2f4e8aebb777034ecad74ac7bfb90adb4711a01840f8d863107c8444eb390b1,af311ec0feaaa12eede8d90b33feae95a7d40b4a2123a4dc4d3b9799f2c91b31
lv,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,8c6bca5a5d9dec7ce61ff6f7d57610ec0ae733da37f9e664e9452e2c8125a882,8c6bca5a5d9dec7ce61ff6f7d57610ec0ae733da37f9e664e9452e2c8125a882,c837d58e3a6f5668b4af8df9afaef83a819d77df93386065e937c9d8cccca054,4dad7d145facc8a8786f073d8d90afff9278b224f047e112d666bf9d3df47119,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9d5152b3f9cff0d3061c934655d09025d38ab704e7a16b662ec6797b02064fc6,0a775732883f5590df829e5f4889866fe218d0385a55521656df9393ed150370
pl,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,927d5f0e4d3ff022491aa2ce06927d0455345934062cc6d636a3331ec6acbd73,927d5f0e4d3ff022491aa2ce06927d0455345934062cc6d636a3331ec6acbd73,88a7c89cff4a76d16401cb9aac88549c97bfb6d9aab55c4a3428718ade6a0b28,67ebf3a46154428bb048be61c4eb1ad1587f7d29cc71674e665a658bc853352c,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,7cd33d4727f933f0e2d50bfb0a8ec7e1d067418c5f10092674f06b5ce2a23250,b0c25185bcdaafc03fe1d1c57763605ea82c1821464a83138a59540a3f6cd081
ru,5ad95f1fe1e525892d5792d675aa34d2cbd47b6e8e1f76c37785efba804f509a,yes,yes,no,yes,no,d7ff6c7778c062799e0890594edb11a90d3673f4d1b54d1f6e029dd0aac2b95c,d7ff6c7778c062799e0890594edb11a90d3673f4d1b54d1f6e029dd0aac2b95c,1dba0f12fbafd50c84bdfd21b8165e674bb9571e2193448bf37a429214fabb93,fb4c15d3406488c250fdcd12e13eeeaa49d2a4c84c08c1e0d066298b2a66c675,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,9df46d5148a52a40f2b10fbdc7091dfd4b52fe9565275c0c5061762be5a4a3e7,8cb28a9397ed3a8702078d55b506a46c590b336858e281dfe19762b9fcf999f7,caf0dc8964e37fdad8e3e5fa03a546cfaa3fda078904aaf37e5293813bbd8203
