"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"GET","admin/canvas-comp-steps-arts-packs/create","voyager.canvas-comp-steps-arts-packs.create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","395"
"POST","admin/canvas-comp-steps-arts-packs","voyager.canvas-comp-steps-arts-packs.store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","437"
"GET","admin/canvas-comp-steps-arts-packs/{id}","voyager.canvas-comp-steps-arts-packs.show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","217"
"GET","admin/canvas-comp-steps-arts-packs/{id}/edit","voyager.canvas-comp-steps-arts-packs.edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","281"
"PUT|PATCH","admin/canvas-comp-steps-arts-packs/{id}","voyager.canvas-comp-steps-arts-packs.update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","330"
"DELETE","admin/canvas-comp-steps-arts-packs/{id}","voyager.canvas-comp-steps-arts-packs.destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","\TCG\Voyager\Http\Controllers\VoyagerBaseController@destroy","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","480"
"GET","admin/our-works/order","voyager.our-works.order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","791"
"POST","admin/our-works/action","voyager.our-works.action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","\TCG\Voyager\Http\Controllers\VoyagerBaseController@action","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","858"
"POST","admin/our-works/order","voyager.our-works.update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update_order","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","834"
"GET","admin/our-works/{id}/restore","voyager.our-works.restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","\TCG\Voyager\Http\Controllers\VoyagerBaseController@restore","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","527"
"GET","admin/our-works/relation","voyager.our-works.relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","\TCG\Voyager\Http\Controllers\VoyagerBaseController@relation","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","875"
"POST","admin/our-works/remove","voyager.our-works.media.remove","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","\TCG\Voyager\Http\Controllers\VoyagerBaseController@remove_media","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","570"
"GET","admin/our-works","voyager.our-works.index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","\TCG\Voyager\Http\Controllers\VoyagerBaseController@index","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","35"
"GET","admin/our-works/create","voyager.our-works.create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","\TCG\Voyager\Http\Controllers\VoyagerBaseController@create","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","395"
"POST","admin/our-works","voyager.our-works.store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","\TCG\Voyager\Http\Controllers\VoyagerBaseController@store","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","437"
"GET","admin/our-works/{id}","voyager.our-works.show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","\TCG\Voyager\Http\Controllers\VoyagerBaseController@show","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","217"
"GET","admin/our-works/{id}/edit","voyager.our-works.edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","\TCG\Voyager\Http\Controllers\VoyagerBaseController@edit","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","281"
"PUT|PATCH","admin/our-works/{id}","voyager.our-works.update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","\TCG\Voyager\Http\Controllers\VoyagerBaseController@update","web|admin.user","","yes","vendor/tcg/voyager/src/Http/Controllers/VoyagerBaseController.php","330"
