"file","class","kind","method","visibility","static","start_line","end_line","loc","params","complexity_signal","risk_signal","doc_summary","db_read","db_write","transaction","mail","queue","storage","http_external","auth_session","translation","voyager","order_domain","payment","crm_sa","venipak","logging","env_direct","raw_sql"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","htmlAttributeValue","private","0","956","994","39","3","7","2","@param string $html @param \App\Models\ImageAltSuggestion $suggestion @param string $attribute @return string|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","ownsExistingValue","private","0","1003","1025","23","4","3","0","@param \App\Models\ImageAltSuggestion $suggestion @param string $field @param string $column @param string $oldValue @return bool /","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","logWrite","private","0","1037","1090","54","7","4","2","@param \App\Models\ImageAltSuggestion $suggestion @param string $field @param string $column @param string|null $oldValue @param string|null $newValue @param string $source @param int|null $appliedBy @return void /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","addDryRunRow","private","0","1100","1114","15","5","1","0","@param \App\Models\ImageAltSuggestion $suggestion @param string $field @param string $column @param string $oldValue @param string $newValue @return void /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","virtualApply","private","0","1125","1150","26","4","2","0","Mark a field suggestion as applicable without writing to source columns. @param \App\Models\ImageAltSuggestion $suggestion @param string $field @param array<int, string> $missing @param bool $dryRun @return bool /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","shortValue","private","0","1156","1169","14","1","3","0","@param string $value @return string /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","idsFromOption","private","0","1175","1184","10","1","2","0","@param string $value @return array<int, int> /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","sourceFromOption","private","0","1190","1195","6","1","1","0","@param string $value @return string /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","appliedByFromOption","private","0","1201","1206","6","1","1","0","@param mixed $value @return int|null /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","statusesFromOption","private","0","1212","1217","6","1","1","0","@param string $value @return array<int, string> /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","resolveModelOption","private","0","1223","1236","14","1","4","0","@param string $model @return string /","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","localizedColumnIfExists","private","0","1245","1254","10","4","2","0","@param mixed $schema @param string $table @param string|null $column @param string $locale @return string|null /","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","applyLogHasColumn","private","0","1260","1267","8","1","1","0","@param string $column @return bool /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"app/Console/Commands/AltApplyCommand.php","App\Console\Commands\AltApplyCommand","class","imageContext","private","0","1273","1279","7","1","1","0","@param \App\Models\ImageAltSuggestion $suggestion @return array<string, mixed> /","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
