locale,group,row_count_match,null_values_match,key_root_match,key_value_root_match,full_root_match,production_key_root_sha256,local_key_root_sha256,production_key_value_root_sha256,local_key_value_root_sha256,production_full_root_sha256,local_full_root_sha256
de,header_footer_new,yes,yes,yes,no,no,d771a53c4b8bc8bdba85aacca8734cff38a8a9653887f856dc6e5a0311b59288,d771a53c4b8bc8bdba85aacca8734cff38a8a9653887f856dc6e5a0311b59288,891611953b24fab8de614fe11340d4cc8c7731f6b05f00fb400ba65a69fb0579,3acefafebeecca1a0c7f1287fa7476aa2a7c5e803e5dcce8ff20c526f0cace36,c2533682128c07c2598aeeb9c144606d5b3d9726b3771a21068c3d5ba179d4e7,f2468e1fb089e777e432ab7fa43817a5b8e504b2909d74fe21e1f356d1932029
ee,header_footer_new,yes,yes,yes,no,no,61eaf6b73fc63d8185e2bfd9d949603100bdedde03ce505fcb4e592e2616c93d,61eaf6b73fc63d8185e2bfd9d949603100bdedde03ce505fcb4e592e2616c93d,7ebe6ced8c38385bc41e610ff04740e386e3f35f3f65c0518b63a8588f53d817,9b749207755bcc62dd637116de349d3c581148040fd616a38b4e0bab002ab856,e46d293fb17851699f234944848569f39736c46c8acf0389cb56bc81c2912900,2fa47728e6db3068c2c3f630365694f43d4466ea4445fe4b9783c5be4e4f4447
en,header_footer_new,yes,yes,yes,no,no,4c4d7fa899fb52a253e98dda5f11a42061f8a5296825cb53472ebd5f1fc9a0df,4c4d7fa899fb52a253e98dda5f11a42061f8a5296825cb53472ebd5f1fc9a0df,3ed56ddc7022fc2bd959fb04439b562ac0e5d550a88717f43cff9930f8249103,2acc198131f309c30a71ed079c47a26f78929b5b860f492bf9ccc0f8a7c22bbf,fbc31df5d7da58b24e4d6c23ef350b597369a5bfeba706759c7319665fc7412b,d97cf1f2b2bc3f1f7d336de23e7c4422acf47b6c3fca871a3aa8662b29760b4a
et,header_footer_new,yes,yes,yes,no,no,b7a2e2d6f06ae7a17067048828412bf399ec04cb9d0d7edf82ecb00dc358a24f,b7a2e2d6f06ae7a17067048828412bf399ec04cb9d0d7edf82ecb00dc358a24f,1db9985d8fae4d4dd1bc5a4823a70cc693f05d49e9cac360cd0bf68d55ab191b,3ecc2d1ddbcfb361cf13963bec7301e8ae4734012222aa0db7a2ae54d94a5c92,a677e66b887de2e77aeb00230ef7d0776e6c3e1b435bf18f4681d99bb30fa8a4,1decfc1d8dba898018a85b28aee778f70f62771e0dae4592018db88ee30923d8
lt,header_footer_new,yes,yes,yes,no,no,273425ae65bf61aafcad52abae02211c780eea780e245a66898c0e33bc78d8eb,273425ae65bf61aafcad52abae02211c780eea780e245a66898c0e33bc78d8eb,f7382b647768c59656d66d0ead4bbbc241e8e3d132d002573fe010c2052b3eae,588336bcd6c45d44f8724928a0fbc446dc008d23e8d1d444ca090a7e45b886ab,70f06f0422f3ab700c8d82fbdd37374446826e96def1b5e71b7125834f740e8b,673e014aa88f0532b29d4314775f5d5b970fa6671e5b61c40369a95ad8f17ecf
lv,header_footer_new,yes,yes,yes,no,no,e4fe66ecbf5060f95a3d7a57c050c86be6a45b76aa75f906bf76405f545bee66,e4fe66ecbf5060f95a3d7a57c050c86be6a45b76aa75f906bf76405f545bee66,0efd24b909b68fd5b4edadd72eb2f3455755cba55d760c33e69d7558e94a67e1,26fe0fa62eece0a2e639999c49a86c56edeed747ad9470e6f52ea96dd3d7e4fc,3abf4a5c65cde79d78444be758cb537b7c0511b2f38cceeb9086cb37e5d68abf,9a49402b91f09cc086430b3999c4aff189eb7834db64689d2e70e64fb30c9aef
pl,header_footer_new,yes,yes,yes,no,no,afe809a04382532b34f2cd4db3aed86395176782ad4f1306dc93bca53109fa1e,afe809a04382532b34f2cd4db3aed86395176782ad4f1306dc93bca53109fa1e,3fe9a488dd5988620c81dd9b96c551755fa30abed5627ec26a1b3fc7db566742,322bf0eaf5433b21e23534d031af78386dcc639f24cdee5cc38b27814201cf5f,ef3d4bd7a3ae2dcf63d6dcf3b38a83c38fd0fe65f28fd8403f070015598cce01,4abcc7ccccc88c331c5f977db104c32d578bf0a3abf789fe04e9811c2d2576cc
ru,header_footer_new,yes,yes,yes,no,no,7eda5263f0bdf0b67cccb6474ba86a63b0184355874846e9855923acca5e4888,7eda5263f0bdf0b67cccb6474ba86a63b0184355874846e9855923acca5e4888,539ee96ad4afdc5a6d9b1e61da7c2f5dce1305c78fceef49c4b2814453d90a71,009588ea6046967fee4b6ef1e4365166b3a315366602799dc1d3a50c79094eb7,5d22012f98d2bf457c2595f6be446fb05e5976fb8c541ad0bb26ff578144665c,49fa5bea42a6f21c9eb7ecb73d451e275aebe5c952ec211faa42419382618226
