"methods","uri","name","handler","controller","middleware","domain","handler_exists","source_file","source_line"
"POST","admin/orders/{order}/payment-requests","admin.order_payment_requests.store","App\Http\Controllers\Admin\OrderPaymentRequestController@store","App\Http\Controllers\Admin\OrderPaymentRequestController@store","web","","yes","app/Http/Controllers/Admin/OrderPaymentRequestController.php","19"
"GET","admin/orders/{id}/remove_painter_image/{img_id?}","remove_painter_image","\App\Http\Controllers\OrdersController@remove_painter_image","\App\Http\Controllers\OrdersController@remove_painter_image","web","","yes","app/Http/Controllers/OrdersController.php","1309"
"POST","admin/add_painter_images","add_painter_images","\App\Http\Controllers\OrdersController@add_painter_images","\App\Http\Controllers\OrdersController@add_painter_images","web","","yes","app/Http/Controllers/OrdersController.php","1221"
"POST","admin/update_order_item_price","update_order_item_price","App\Http\Controllers\Admin\OrdersController@update_order_item_price","App\Http\Controllers\Admin\OrdersController@update_order_item_price","web","","yes","app/Http/Controllers/Admin/OrdersController.php","924"
"POST","admin/add_order_item","add_order_item","\App\Http\Controllers\OrdersController@add_order_item","\App\Http\Controllers\OrdersController@add_order_item","web","","yes","app/Http/Controllers/OrdersController.php","2421"
"GET","admin/remove_user_image","remove_user_image","\App\Http\Controllers\OrdersController@remove_user_image","\App\Http\Controllers\OrdersController@remove_user_image","web","","yes","app/Http/Controllers/OrdersController.php","1399"
"GET","admin/user/{id}/set_sale/{sale}","give_user_sale","App\Http\Controllers\Admin\VoyagerAdminController@give_user_sale","App\Http\Controllers\Admin\VoyagerAdminController@give_user_sale","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","310"
"GET","admin/user/{id}/cancel_sale/{sale}","cancel_user_sale","App\Http\Controllers\Admin\VoyagerAdminController@cancel_user_sale","App\Http\Controllers\Admin\VoyagerAdminController@cancel_user_sale","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","350"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","admin/user/{id}/set_sale30_40","set_sale30_40","App\Http\Controllers\Admin\VoyagerAdminController@set_sale30_40","App\Http\Controllers\Admin\VoyagerAdminController@set_sale30_40","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","399"
"GET","admin/user/{user_id}/leave_rev/{order_id}","","\App\Http\Controllers\OrdersController@leave_rev","\App\Http\Controllers\OrdersController@leave_rev","web","","yes","app/Http/Controllers/OrdersController.php","2287"
"GET","admin/user/{user_id}/leave_rev","","\App\Http\Controllers\OrdersController@leave_rev_no_orders","\App\Http\Controllers\OrdersController@leave_rev_no_orders","web","","yes","app/Http/Controllers/OrdersController.php","2302"
"POST","admin/upload_audio_rev","","App\Http\Controllers\Admin\VoyagerAdminController@upload_audio_rev","App\Http\Controllers\Admin\VoyagerAdminController@upload_audio_rev","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","214"
"GET","admin/cache/clear","","App\Http\Controllers\Admin\VoyagerAdminController@cache_clear","App\Http\Controllers\Admin\VoyagerAdminController@cache_clear","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","242"
"GET","admin/cache/set","","App\Http\Controllers\Admin\VoyagerAdminController@cache_set","App\Http\Controllers\Admin\VoyagerAdminController@cache_set","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","249"
"GET","admin/user_notify","","App\Http\Controllers\Admin\VoyagerAdminController@user_notify","App\Http\Controllers\Admin\VoyagerAdminController@user_notify","web","","yes","app/Http/Controllers/Admin/VoyagerAdminController.php","256"
"GET","admin/email-sender","","App\Http\Controllers\Admin\EmailSenderController@index","App\Http\Controllers\Admin\EmailSenderController@index","web","","yes","app/Http/Controllers/Admin/EmailSenderController.php","20"
"POST","admin/email-sender","mail.send","App\Http\Controllers\Admin\EmailSenderController@send","App\Http\Controllers\Admin\EmailSenderController@send","web","","yes","app/Http/Controllers/Admin/EmailSenderController.php","44"
"GET","admin/Coupon30_40","Coupon30_40","App\Http\Controllers\Admin\OrdersController@Coupon30_40","App\Http\Controllers\Admin\OrdersController@Coupon30_40","web","","yes","app/Http/Controllers/Admin/OrdersController.php","1322"
"GET","admin/facebook","facebookCoupon","App\Http\Controllers\Admin\OrdersController@facebookCoupon","App\Http\Controllers\Admin\OrdersController@facebookCoupon","web","","yes","app/Http/Controllers/Admin/OrdersController.php","1311"
"POST","admin/salefacebook","ajaxfacebook","App\Http\Controllers\Admin\OrdersController@ajaxfacebook","App\Http\Controllers\Admin\OrdersController@ajaxfacebook","web","","yes","app/Http/Controllers/Admin/OrdersController.php","1336"
"POST","admin/sale30_40","ajax30_40","App\Http\Controllers\Admin\OrdersController@ajax30_40","App\Http\Controllers\Admin\OrdersController@ajax30_40","web","","yes","app/Http/Controllers/Admin/OrdersController.php","1391"
"POST","admin/sa/bot-control","admin.sa.bot_control","App\Http\Controllers\Admin\AdminSaIntegrationController@botControl","App\Http\Controllers\Admin\AdminSaIntegrationController@botControl","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","240"
"POST","admin/sa/send-message","admin.sa.send_message","App\Http\Controllers\Admin\AdminSaIntegrationController@sendMessage","App\Http\Controllers\Admin\AdminSaIntegrationController@sendMessage","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","327"
"GET","admin/sa/messages","admin.sa.messages","App\Http\Controllers\Admin\AdminSaIntegrationController@getMessages","App\Http\Controllers\Admin\AdminSaIntegrationController@getMessages","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","382"
"GET","admin/sa-conversations","admin.sa.conversations.index","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationsIndex","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationsIndex","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","20"
"GET","admin/sa-conversations/unread-state","admin.sa.conversations.unread_state","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationsUnreadState","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationsUnreadState","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","42"
"GET","admin/sa-conversations/{conversation}","admin.sa.conversations.show","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationShow","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationShow","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","76"
"POST","admin/sa-conversations/{conversation}/send-message","admin.sa.conversations.send_message","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationSendMessage","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationSendMessage","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","109"
"POST","admin/sa-conversations/{conversation}/create-order","admin.sa.conversations.create_order","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationCreateOrder","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationCreateOrder","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","165"
"POST","admin/sa-conversations/{conversation}/bind-order","admin.sa.conversations.bind_order","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationBindOrder","App\Http\Controllers\Admin\AdminSaIntegrationController@conversationBindOrder","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","209"
"GET","admin/sa-simulator","admin.sa.simulator","App\Http\Controllers\Admin\AdminSaIntegrationController@simulator","App\Http\Controllers\Admin\AdminSaIntegrationController@simulator","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","410"
"POST","admin/sa-simulator/trigger","admin.sa.simulator.trigger","App\Http\Controllers\Admin\AdminSaIntegrationController@simulatorTrigger","App\Http\Controllers\Admin\AdminSaIntegrationController@simulatorTrigger","web","","yes","app/Http/Controllers/Admin/AdminSaIntegrationController.php","430"
"GET","oil-portrait","oil_portrait.index","App\Http\Controllers\StaticPagesController@render_oil_portrait","App\Http\Controllers\StaticPagesController@render_oil_portrait","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/StaticPagesController.php","357"
"GET","storage/{path}","","Closure","","web","","yes","routes/web.php","48"
"GET","uploads/{path}","","Closure","","web","","yes","routes/web.php","74"
"GET","orders/{path}","","Closure","","web","","yes","routes/web.php","93"
"GET","auth/facebook/redirect","facebook_redirect","App\Http\Controllers\SocialController@facebook_redirect","App\Http\Controllers\SocialController@facebook_redirect","web","","yes","app/Http/Controllers/SocialController.php","95"
"GET","auth/facebook/callback","facebook_callback","App\Http\Controllers\SocialController@facebook_callback","App\Http\Controllers\SocialController@facebook_callback","web","","yes","app/Http/Controllers/SocialController.php","102"
"GET","auth/google/redirect","google_redirect","App\Http\Controllers\SocialController@google_redirect","App\Http\Controllers\SocialController@google_redirect","web","","yes","app/Http/Controllers/SocialController.php","162"
"GET","auth/google/callback","google_callback","App\Http\Controllers\SocialController@google_callback","App\Http\Controllers\SocialController@google_callback","web","","yes","app/Http/Controllers/SocialController.php","172"
"POST","admin/check-user","","App\Http\Controllers\AccountController@ajax_check_user","App\Http\Controllers\AccountController@ajax_check_user","web","","yes","app/Http/Controllers/AccountController.php","399"
"GET","robots.txt","main.robots.txt","App\Http\Controllers\RobotsController@mainRobots","App\Http\Controllers\RobotsController@mainRobots","web","","yes","app/Http/Controllers/RobotsController.php","41"
"GET","save_base64_image2","","App\Http\Controllers\BasketController@save_base64_image2","App\Http\Controllers\BasketController@save_base64_image2","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/BasketController.php","61"
"GET|POST|PUT|PATCH|DELETE|OPTIONS","image_gen_all","image_gen_all","App\Http\Controllers\Admin\ImageGenController@image_gen_all","App\Http\Controllers\Admin\ImageGenController@image_gen_all","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Admin/ImageGenController.php","162"
"GET","mail/test","","App\Http\Controllers\MailController@index","App\Http\Controllers\MailController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MailController.php","17"
"GET","mail/gift_cart","","App\Http\Controllers\MailController@gift_cart","App\Http\Controllers\MailController@gift_cart","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MailController.php","112"
"GET","mail/abandoned_cart","","App\Http\Controllers\MailController@abandoned_cart","App\Http\Controllers\MailController@abandoned_cart","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MailController.php","76"
"GET","mail/abandoned_cart24","","App\Http\Controllers\MailController@abandoned_cart24","App\Http\Controllers\MailController@abandoned_cart24","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MailController.php","46"
"GET","mail/order","","App\Http\Controllers\MailController@order","App\Http\Controllers\MailController@order","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/MailController.php","98"
"GET","mail/1","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","149"
"GET","mail/2","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","153"
"GET","mail/3","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","157"
"GET","mail/4","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","161"
"GET","mail/5","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","165"
"GET","mail/6","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","169"
"GET","mail/7","","Closure","","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","routes/web.php","173"
"GET","faq","faq","App\Http\Controllers\Pages\FaqController@index","App\Http\Controllers\Pages\FaqController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/FaqController.php","21"
"GET","condition","condition","App\Http\Controllers\Pages\ConditionController@index","App\Http\Controllers\Pages\ConditionController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/ConditionController.php","23"
"GET","simpsons","simpsons","App\Http\Controllers\Pages\SimpsonsController@index","App\Http\Controllers\Pages\SimpsonsController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/SimpsonsController.php","45"
"GET","new/caricature","caricature","App\Http\Controllers\Pages\SharjController@index","App\Http\Controllers\Pages\SharjController@index","web|resetPlLocale|localize|localeSessionRedirect|localizationRedirect|lastModified","","yes","app/Http/Controllers/Pages/SharjController.php","46"
