opaque_id_sha256,row_count,key_root_sha256,type_root_sha256,key_value_root_sha256
99fdd99c3c7cfd5fc800af158c97221d66f701e3da837113780dc85e5952fa58,8,a96b5fa64916bb4e0b5bc5eb215b1524c6157d3332588b224097d0433813ce49,3bf2d02bedd405de45e03237b80681afc17933fd72c338bc4ad90d3cfa46cb9d,39b12075052d4a8e3a7ea70114995f05b99852a70ea495fa5266cf595e3fbaeb
9b3842ec6d12a6e602e20068f5ca16187663bc19a526e81470e343d3346249da,8,635e9a552ca13a9e19662f9dc8612830bab7cfc24ec5824c9202e6c4e2603176,b348ac05b6e60ad39433ff3fa0c6e595fe7266760b35670636440b4677bfabdb,236fa29e21cb5825a3054a74c288e7e627a6e1abbe40cef4bfa5ca556d343e63
9c095942b944c22f31a3cff0633aab577ea6e2fe7edbf79ebbf8a8596bfc85bf,8,790839d5b8970b0c1cd9ec1eb08623aa9a1e228686a2e1da2dfded1da2017a94,43c684f11b38646e59edae86bda808efe12c3ee9af19e5fc17f556a5d0b1886c,132fbc97c3260efa13684728472a3e7aadedc49679b69d0b352e3e4582a109d4
9d0617b99631bb3fca78a50df3cf9efc501630862f213950304fbb4516bd5252,8,c12b674445ecd21d319e62e430271f73cd35aee288ecb31dc8f4e9188b53d6a3,67c7484f18081f10622c744aee5c6100d71852afb6b4d1151d67559e2d4a1325,f284a69698dc280c8eb6909b97e9016c30784db84db01086f55105874a45c560
a96352abed4b065637252e6e2e136ee99ce328f85b3c1a1dae98a7e05b32d2ed,8,83751d64370c1276187d70f31fd6a36df4baed5d2af627dd3632c3e109de5db6,cfa27866ed3afd6ec4a972427b8e7607ffe7bfcadbb7826dd8931404c5b672f9,ae82262f1974653bd3a3d3264869d867016778829dac4f96478a77eb318ba95c
ac1630190ba0fdb3baec72083ebcce2c386e6c746f1a11523b8abf4099252165,8,6fabbddd1fdb33a66cba6457eea24c2d7e30398ece9fd2a35749734e3682a733,f680508da0f01ae03ee146567d8e8845f49566d014d2d648406e7cb6746871de,6693d3a163eafa1fc44bd1206e461dcc59dcaf518bd8a095eee86ee6c9bdf1dc
b853ac89c015280cf69c01861965e8fb94589cdcd7ebe8e8be2c02fec92c6217,8,d659a7f71cad8a0dde99900801283177a7c523ff9e68c081a467b8a4e9069f36,0aff5f10e611300b99b315bdf22180c56c10a783df92d2633f911e59f89b426a,dbea32e7ad419132b3365eafc07b03e68bbe6f3c8d78dd44c096350e4c7cdb89
c26f2ba8ee4905ebf4a2d84e856e2f5c24b3e44949d6d56d19bf86de2ee13cc1,8,ed8294e46e6a794c66db3825608c46a63a60c16deb991851ae7266779ef376ce,9b93f97805967491fba78c1d873e6bb9cc28129d374f43887731ae84329cf159,865647946118a26ba40e276ea23e98e2067e47c15dd0da9bd30d461bd799e590
c80955d7f2631f8bc7c71b13f4b2d7b169778be403b0bd91373508c610fbde26,8,d8ed4fa34f6eab9537e1c4850a8491a9970640a4088b1a377b0e5d469c3a1b37,a5c5f9c066256d5a94602fbd16deff073e9287e8ad0d77a6a1f1554910b49ff4,c051dee5cda0d3f872e15ad3449354d90b9e0c44c5f1f1e33c8821e18638ee6d
d485cd7fe83f8daf17755b2d8bb24fd00cd602689ebdc072e2788c4aed11270f,8,0b6114a2c96fb35d41df2bf099f6ebf32a400f7195001133f176f964f3ea02d8,50c88848294999bf2bbd12c1ed88945522d8a174dcb33f72f80ec3deaab639dc,6bcf7174b744ff1b10b897d3589c317b6ba07f3dc7090302844bb03d20a66f9c
d86fe9d2130ec5012e40175f3a3595d7e428a0c4ae5a65472b4b73f3f47bab3d,8,0d9ffb95352f8c7e239cfb4599c460665c60c7e587eac3801575bf89a111929b,052f67e28b4b4208521a44b48bc7416e019656ecf7781804bec1a1edb293ef29,e8feabd77a25d7e77ff1e41eb003810d82c5639f0dbbd3ab9a37a7658aae1680
dd642e4ab948f723a1e01234d67922fb3eb3dabd5b788de82557e28ad216f2e5,8,b293afcf07715f59544de94c4c098a8a3ebfd1ebbf433fd49ca80297ec4b7a75,57e2c5cbb42b4c566c8fe63c07442a5b7367bfae473d77abaf31cdf1e99f2d18,5e680ebc199543be4bd3e30437d57b13688beed620ac880315314d1345595b31
f73fad83fca7d7e42df09167517313a914b520936e4f78edd4b1623f021df94a,8,8fc43edd31df33038565def9bd7b75e54bc39a168e072d69cb181c88344ded29,eaeed9fb74493304b94538aabb24b3992416293e781f054f225d0ac385c38564,0d0f9da75ba4ebcd1e523d55c019d7b2d5a5c98768af7c999192d5954c38ace2
fae80ef2cb45544d8b1b41579f98226ced11fb7461cf75523589c50a34ecf6d0,8,ad8c724d34ea5177c0ad73a926ba73bc7c4159096966aa4ccf25bb09d6fbba72,f02e76293f1b21b5ddd1e83def3b3b05581d233a581af5a760c3dfd3abbb7084,3682544d2dccff97b8f2fad9ab05a9a962ba326cea1b74625312ac1f0a8f2662
